niskin,turbidity
C1B1,98.0372
C1B2,97.7818
C1B3,97.7746
C1B4,97.9297
C1B5,98.0801
C1B6,97.8482
C1B7,97.341
C1B8,97.4836
C1B9,97.9098
C1B10,98.3585
C1B11,98.4875
C2B2,98.0492
C2B3,98.3533
C2B4,98.3632
C2B5,98.1966
