ASV1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Opisthokonta-Metazoa
ASV2,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus,Opisthokonta-Metazoa
ASV3,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.,Alveolata-Syndiniales
ASV4,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetes_unclassified,Sordariomycetes_unclassified,Opisthokonta-Fungi
ASV5,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,Alveolata-Syndiniales
ASV6,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-8,Dino-Group-I-Clade-8_X,Dino-Group-I-Clade-8_X_sp.,Alveolata-Syndiniales
ASV7,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,Alveolata-Syndiniales
ASV8,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Spumellaria_unclassified,Spumellaria_unclassified,Spumellaria_unclassified,Rhizaria-Radiolaria
ASV9,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_unclassified,Acantharea_unclassified,Acantharea_unclassified,Acantharea_unclassified,Rhizaria-Radiolaria
ASV10,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Clausocalanus,Clausocalanus_furcatus,Opisthokonta-Metazoa
ASV11,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Opisthokonta-Metazoa
ASV12,Eukaryota,Stramenopiles,Sagenista,MAST-8,MAST-8_X,MAST-8_XX,MAST-8_XXX,MAST-8_XXX_sp.,Stramenopiles-MAST
ASV13,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,Alveolata-Syndiniales
ASV14,Eukaryota,Opisthokonta,Metazoa,Ctenophora,Ctenophora_X,Ctenophora_XX,Ctenophora_XX_unclassified,Ctenophora_XX_unclassified,Opisthokonta-Metazoa
ASV15,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.,Rhizaria-Radiolaria
ASV16,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Opisthokonta-Metazoa
ASV17,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Syndiniales_unclassified,Syndiniales_unclassified,Syndiniales_unclassified,Syndiniales_unclassified,Alveolata-Syndiniales
ASV18,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Alveolata-Dinoflagellates
ASV19,Eukaryota,Opisthokonta,Metazoa,Craniata,Craniata_X,Teleostei,Auxis,Auxis_rochei,Opisthokonta-Metazoa
ASV20,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica,Hacrobia-Haptophyta
ASV21,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Opisthokonta-Metazoa
ASV22,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Opisthokonta-Metazoa
ASV23,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Opisthokonta-Metazoa
ASV24,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-1,Telonema-Group-1,Telonema_subtile,Hacrobia-Other
ASV25,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Pseudo-nitzschia,Pseudo-nitzschia_unclassified,Stramenopiles-Ochrophyta
ASV26,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.,Rhizaria-Radiolaria
ASV27,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Mecynocera,Mecynocera_clausi,Opisthokonta-Metazoa
ASV28,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Spumellaria_unclassified,Spumellaria_unclassified,Spumellaria_unclassified,Rhizaria-Radiolaria
ASV29,Eukaryota,Alveolata,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata-Syndiniales
ASV30,Eukaryota,Rhizaria,Radiolaria,Radiolaria_unclassified,Radiolaria_XX,Radiolaria_XXX,Radiolaria_XXXX,Radiolaria_XXXX_sp.,Rhizaria-Radiolaria
