ASV34,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,Thioglobaceae_unclassified,Gammaproteobacteria
ASV35,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,Alphaproteobacteria
ASV36,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV37,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,Crenarchaeota_Nitrososphaeria
ASV38,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV39,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV40,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,Actinobacteriota
ASV41,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV42,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,Crenarchaeota_Nitrososphaeria
ASV43,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV44,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV45,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,Marinimicrobia_(SAR406_clade)
ASV46,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,Alphaproteobacteria
ASV48,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV49,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,Alphaproteobacteria
ASV50,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade_ge,Gammaproteobacteria
ASV51,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV52,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36_fa,HOC36_ge,Gammaproteobacteria
ASV53,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV54,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,Gammaproteobacteria_SUP05_cluster
ASV55,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,Crenarchaeota_Nitrososphaeria
ASV56,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,Planctomycetota
ASV57,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV58,Archaea,Crenarchaeota,Nitrososphaeria,Marine_Benthic_Group_A,Marine_Benthic_Group_A_fa,Marine_Benthic_Group_A_ge,Crenarchaeota_Marine_Benthic_Group_A
