ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV1,15,2,76714,24,11,17,6,18,3,2,15,7,0,2,5,0,0,0,312,5,0,0,0,3,7524,0,3,0,8,4,3,25,0,19,65122,6,5,2,27,221,3,47,44,9,1,854,90245,4,0,4
ASV2,331,553,2464,0,0,0,2,0,6,0,33,0,65,12,6,71,83,80,52387,57,0,0,1,0,0,3,2,5,6,2,0,0,0,8,0,510,74,146,0,2,50958,2635,3300,2855,21640,53507,0,24,48,54
ASV3,1650,2330,111,2832,2237,1903,2132,3390,2373,2541,2791,3666,2088,3524,3053,3098,2260,2462,646,1287,1858,2479,2485,2478,1863,3431,2831,3843,3253,3382,3486,3041,3863,3191,71,2820,3199,3387,1816,135,750,2248,3441,2166,1276,1448,347,2190,1589,3258
ASV4,1699,183,39,2573,5669,8252,1151,297,380,9492,1535,2349,7271,2311,1479,7138,2742,3415,2563,2369,2476,14884,8818,7750,2590,12766,2590,3902,1860,1280,13259,5134,2387,7205,12,1626,648,546,3683,16,140,3802,1362,1147,657,87,40,1188,2898,0
ASV5,1543,2432,92,1215,2256,1784,2540,2870,2336,2610,1788,2227,2256,2254,2240,2407,2696,2312,601,1186,1930,1504,1510,3660,1515,2985,2520,2652,2935,2014,2851,3272,2626,2282,56,1148,2349,1451,1864,137,601,2059,3219,2963,950,783,295,2058,1667,2617
ASV6,2697,2838,100,1928,2260,3492,1629,1885,2376,2426,961,548,1762,1320,1208,1074,2725,1652,0,3226,1890,3707,2586,2170,1250,3921,1,1544,3024,2816,2843,4634,2808,980,1,1845,1123,1112,616,356,636,2185,3234,23,419,383,78,1911,3032,1543
ASV7,1576,2050,119,1141,1831,1481,2103,2763,2409,2235,1839,1813,1269,2178,1604,1908,2149,3508,688,1535,2493,2563,2389,2704,903,2691,1845,2059,2118,1267,1734,2002,1748,1381,18,1802,2729,2763,1781,108,769,1635,2286,1955,1248,926,192,1865,1435,2021
ASV8,528,1405,62,738,792,871,1041,1239,969,1964,3667,1089,831,931,515,1260,1504,3534,864,379,229,5184,1146,665,1150,3639,5318,962,2813,955,2129,1063,7172,9370,126,1421,3735,2614,235,54,1753,2549,949,7894,2177,870,183,1687,2637,3432
ASV9,593,1233,42,1106,1107,1324,627,852,1261,1111,2479,764,1642,1041,595,2052,1174,1638,1058,2475,2848,7420,2812,4153,992,2098,854,780,1141,1644,1960,1109,1070,894,23,2759,3492,3130,1411,161,912,1982,1855,523,950,776,281,1424,971,1457
ASV10,7659,21,748,9,5,2,4,10252,1,0,0,0,0,0,5,1,2,0,6103,0,0,0,1,1,10713,1,1,0,0,23581,14,2,0,3,3,5720,0,2,0,3431,0,0,0,1,0,5,5,0,0,0
ASV11,1389,710,45,44,5,59,1,12,23,504,426,15113,4510,5631,4761,150,1312,168,2874,9839,8179,2325,2967,1511,314,879,2572,6819,2459,71,45,203,12,26,7,43,94,15,1439,201,557,680,1178,946,113,62,12,799,1803,1491
ASV12,1432,2088,91,3489,3476,4908,3143,2711,2877,2573,2771,3542,3122,2064,1916,1306,2066,1603,175,1183,844,994,193,444,709,2364,1486,1190,1164,290,932,567,4,22,2,372,248,135,997,109,625,1659,2181,1481,1263,628,206,1151,1048,1284
ASV13,844,1467,74,1444,2073,1722,1862,1770,1824,1791,1382,1319,1642,1540,1358,1144,1615,2036,349,984,1211,1489,1232,1815,857,3043,1207,1158,1417,1342,1877,2320,1099,812,29,1020,1072,721,1115,64,475,1231,1250,1492,863,734,212,987,1019,1376
ASV14,1406,1688,45,106,450,338,289,284,199,976,425,454,3404,3000,4368,278,2074,1072,49,350,1281,712,216,1019,295,863,674,410,243,4577,2823,3999,1058,1045,22,319,792,650,523,24,403,1483,1246,2217,965,406,48,1051,453,935
ASV15,696,684,43,862,1128,872,983,651,1440,821,2125,238,646,1247,2533,195,877,3018,263,426,574,1366,1917,1115,862,1742,457,179,2014,679,502,760,1593,1073,14,990,868,463,288,8,556,1137,1931,1119,649,382,148,684,374,1892
ASV16,1425,1582,83,1906,1056,1359,333,104,214,311,170,181,888,1125,344,216,692,469,559,2695,2713,694,1443,1093,511,1852,338,496,223,268,77,29,3467,1578,28,656,763,322,1362,126,541,1424,1668,1843,585,468,218,2664,2266,3617
ASV17,1366,1114,21,667,614,944,1384,766,809,1142,1143,1292,723,1563,2290,1370,508,918,176,0,1625,334,597,2039,1405,820,967,1874,1977,749,510,1605,134,50,21,260,668,814,670,82,613,867,1216,1231,346,442,69,681,434,678
ASV18,641,110,28,757,648,1462,1168,186,1759,264,804,1444,51,121,291,51,164,62,0,240,2,731,0,0,44,62,659,358,540,3,1680,8,137,77,9,1819,2358,2361,3235,452,1406,1753,4093,5411,1672,1629,728,1316,2548,3374
ASV19,0,0,1,0,0,68,16,0,0,0,46,0,47,0,0,114,0,66,49,206,1659,0,0,53,2,0,0,0,0,0,0,0,0,40,0,0,0,159,0,34885,67,4,0,295,0,0,9,0,100,0
ASV20,279,484,24,412,565,829,207,380,536,653,393,1090,600,455,652,401,503,751,144,830,333,1026,594,226,171,1141,328,723,850,519,270,101,747,526,4,1411,1023,1271,1173,131,1134,1645,1946,1917,1123,592,147,1079,981,2244
ASV21,1437,1897,113,155,152,454,295,72,123,977,895,768,8,4,3,0,83,99,0,0,5,0,0,0,1,0,195,201,790,92,122,848,0,57,1,704,709,350,1920,143,451,2443,2615,2573,95,10,6,3934,3496,4406
ASV22,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,27591,0,2,1,0,1,0,0,1,0,0
ASV23,3,8,1,34,89,290,1,6,1,3,3,1,2826,652,768,0,0,0,0,0,0,0,0,0,0,2,0,0,0,94,153,175,263,406,7,501,385,341,7,3,21,97,8,33,11050,1685,333,1355,1790,8773
ASV24,606,809,42,2006,1667,2698,1576,1194,1097,869,624,543,931,976,885,705,565,969,135,501,292,567,184,247,370,1637,1302,687,538,332,658,367,0,18,1,82,148,88,622,84,227,790,1031,858,551,249,40,642,891,1000
ASV25,331,455,13,324,634,714,413,724,394,666,524,594,856,643,648,393,639,1114,124,758,447,376,245,448,180,1048,561,796,337,126,661,363,412,283,2,664,782,691,1097,91,534,740,926,729,708,606,105,795,668,1212
ASV26,326,407,22,994,247,470,795,261,1149,847,953,95,452,516,1989,440,1399,1228,160,189,550,303,983,620,278,1300,192,0,837,120,810,171,1611,730,17,325,736,214,114,0,453,825,1315,552,209,406,125,516,167,913
ASV27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,36,72,28030,0,0,1,0,0,0
ASV28,36,113,48,147,8,178,131,79,194,42,481,1464,120,1426,1348,1736,1902,174,59,222,222,92,97,278,25,5042,146,69,2347,14,51,4672,628,1612,60,12,25,721,205,14,88,226,164,121,56,515,42,312,241,333
ASV29,622,1408,64,417,433,604,534,716,1210,347,84,2,524,1131,659,608,1168,0,0,0,402,305,0,0,1084,975,726,1311,1200,0,1500,744,226,843,0,1,79,0,0,0,429,551,1416,799,524,146,56,1190,287,17
ASV30,367,504,31,535,84,471,64,475,159,299,86,695,441,1141,272,0,57,2,220,621,1153,9,111,627,753,4648,204,46,1313,0,0,49,1,1779,20,371,455,1269,366,10,144,924,43,292,507,787,91,432,387,941
ASV31,22,81,51,27,33,109,227,1794,93,6,42,0,608,5956,708,1,48,48,0,18,1,4,2,26,3602,0,2475,0,3105,0,9,0,0,3733,1,1549,166,1168,33,1,15,9,9,41,30,4,2,93,760,4
ASV32,429,884,25,682,947,1040,1311,948,1345,1013,730,713,987,949,602,807,712,978,51,491,287,182,71,74,378,1042,349,387,347,228,607,195,0,33,3,111,70,23,469,42,132,352,492,487,406,250,70,362,350,563
ASV33,489,612,26,537,735,386,597,753,587,528,494,431,421,638,591,1294,654,507,87,296,281,443,354,543,347,651,694,527,674,445,462,323,399,543,9,385,367,385,390,25,88,300,550,418,372,262,69,397,323,575
ASV34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9853,6920,0,5539,6,0,10,118,1,0,1,0,13,58,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,0
ASV35,186,455,15,250,424,270,208,662,398,742,376,801,486,563,702,718,911,55,153,142,437,2000,401,1050,0,816,424,58,320,229,289,433,376,364,7,418,388,239,525,47,158,247,437,284,661,115,51,210,422,500
ASV36,74,6,1,109,23,11,0,15,0,90,126,79,3,28,48,138,62,406,1,0,44,2,2,757,1,91,37,8,75,122,0,16,2,16,0,1403,1683,1397,1164,201,783,1072,2075,1293,1316,460,319,1605,1504,1754
ASV37,262,290,26,834,817,838,473,290,443,358,434,379,587,522,376,689,981,749,117,423,232,772,359,298,149,788,515,439,652,390,339,483,60,248,4,164,266,216,377,41,119,450,577,235,282,112,18,329,207,281
ASV38,286,783,24,505,488,432,697,613,392,459,375,121,267,491,363,743,476,356,126,615,397,815,696,392,205,748,270,348,632,360,337,311,135,250,0,286,523,532,124,25,200,344,588,419,391,226,54,397,471,463
ASV39,200,452,13,402,223,245,159,621,697,390,288,218,133,189,338,192,705,1014,84,433,257,279,896,958,165,957,758,765,322,239,480,473,493,571,11,55,568,415,186,19,101,40,241,489,522,103,54,229,191,360
ASV40,0,1,0,0,0,0,0,11,33,1,0,1,1726,1165,307,6171,4006,5065,165,20,57,29,13,34,0,2,296,58,593,0,0,0,50,0,0,0,6,0,5,0,0,8,54,0,245,325,0,2,0,0
ASV41,20,10,0,2,3,3,1,7,5,1,4,3,0,0,1,0,0,0,1,0,0,4119,4709,3671,3,0,74,47,86,1008,1095,1351,75,1197,0,5,54,4,9,1,1,1,1,1,83,67,17,0,7,25
ASV42,298,465,23,349,633,440,386,552,487,288,320,211,223,333,414,1009,346,276,54,311,265,211,302,441,184,487,328,332,307,267,511,186,391,328,4,171,249,236,236,22,70,386,446,355,286,188,61,398,311,507
ASV43,80,209,11,470,498,368,169,198,384,380,324,154,567,179,329,63,177,240,14,52,299,49,142,62,75,224,195,189,124,86,19,81,265,29,7,994,1517,1049,1281,231,876,1003,1356,1482,905,509,98,700,897,1065
ASV44,222,368,8,295,276,297,473,383,435,392,378,466,341,297,417,451,646,356,67,324,436,581,271,609,254,596,262,345,278,364,369,336,199,203,12,206,266,206,265,28,94,224,287,398,202,81,25,328,279,409
ASV45,172,394,17,207,168,368,456,398,445,528,434,255,478,252,274,327,44,804,32,35,441,14,122,67,251,325,287,561,681,574,375,152,1790,2369,52,196,114,127,172,20,10,317,563,257,155,46,52,391,181,75
ASV46,4,19,44,3,17,0,15,912,87,6,0,0,40,2575,636,0,1,0,0,0,1,1,0,0,2479,0,1817,0,2515,0,0,0,0,2597,0,1164,86,682,29,3,0,9,6,0,4,0,0,42,903,0
ASV47,69,133,7,357,186,334,587,339,642,6,78,218,348,604,53,1495,633,402,226,36,226,276,1111,129,515,416,571,191,30,196,257,561,1131,654,27,657,98,227,501,31,177,300,361,325,316,294,79,413,231,270
ASV48,183,279,21,274,242,340,228,186,348,379,323,206,289,199,389,271,396,921,114,607,219,564,347,391,310,787,274,426,376,265,66,104,866,438,2,166,158,241,277,28,189,376,412,313,104,35,39,284,250,159
ASV49,33,17,1,668,614,1104,649,881,563,88,191,82,4,1,5,205,65,17,42,0,92,200,2,30,1,6,20,38,124,0,6,2,65,29,1,880,881,1023,2422,213,1210,122,304,496,1,0,0,53,12,29
ASV50,22,1,0,7,35,147,0,48,0,0,0,0,167,331,58,0,0,1,0,0,0,0,0,0,584,14151,0,1,0,102,0,0,0,0,1,36,10,1,0,8,767,17,85,0,0,0,0,44,13,39
ASV51,165,450,15,470,612,442,570,639,426,454,422,200,322,560,406,598,250,337,25,96,237,209,95,306,142,174,207,97,148,401,438,416,106,18,0,16,172,113,256,20,69,321,358,346,156,208,34,242,317,326
ASV52,149,406,13,502,491,847,307,257,297,500,247,272,161,512,284,55,299,491,58,197,144,280,288,48,133,550,114,207,434,359,466,44,40,195,4,196,258,188,163,19,50,351,314,245,108,149,11,231,377,402
ASV53,225,300,5,397,315,363,492,334,459,253,343,243,381,216,226,650,286,253,67,152,267,244,177,72,103,423,599,366,389,255,160,323,43,140,4,160,239,146,269,36,55,235,298,368,129,116,45,337,178,385
ASV54,210,765,5,417,395,755,276,343,199,441,498,101,135,75,401,0,0,905,309,173,297,753,148,145,137,594,223,0,150,1208,0,178,22,690,5,73,436,0,202,3,180,409,447,44,309,128,60,445,321,29
ASV55,160,130,5,174,232,257,233,303,395,144,157,78,198,106,142,363,380,29,56,100,65,128,77,68,53,88,187,115,47,70,0,41,18,80,3,694,663,702,918,116,684,968,925,765,523,426,86,490,507,826
ASV56,65,115,9,149,204,177,196,189,201,872,226,132,364,182,267,299,179,183,32,80,158,115,130,877,50,256,210,188,174,34,177,34,78,198,2,757,797,590,342,42,481,227,337,287,279,166,41,298,561,536
ASV57,176,369,25,225,187,175,45,202,335,0,132,69,213,256,170,0,49,0,0,1,88,0,0,0,0,100,1151,1230,1037,128,313,117,69,136,3,305,376,303,9,0,0,371,517,429,93,54,10,815,704,968
ASV58,3717,2463,182,67,142,102,450,356,904,282,433,181,21,87,0,9,4,13,11,2,55,212,26,88,380,287,284,184,215,3,201,28,19,25,0,113,17,86,59,1,9,23,10,26,2,2,3,31,17,15
ASV59,232,437,13,1066,1129,1020,608,707,512,263,324,380,389,323,268,465,463,339,49,170,310,233,97,153,206,488,529,379,407,363,212,230,0,0,0,106,59,42,157,33,90,359,518,531,245,210,45,447,330,425
ASV60,53,10,1,0,3,0,0,1,0,1,1,2,11,20,20,1,1,3,0,2,2,8,0,2,0,1,151,162,147,41,7,10,4,8,1,3,7,7,267,2,17,12,4,8,5549,3847,949,107,86,97
ASV61,121,88,8,482,229,253,110,267,154,261,408,288,345,93,152,4,75,43,23,81,61,46,87,63,38,419,87,139,145,78,13,270,21,14,6,205,374,240,437,44,269,466,579,1010,285,194,55,405,440,792
ASV62,1,0,0,219,910,208,719,252,386,20,34,7,0,0,27,63,0,0,36,728,150,183,29,222,45,1,0,0,0,1294,702,1747,201,4,0,151,265,145,0,0,0,410,354,303,396,250,84,502,289,706
ASV63,316,439,15,287,197,327,613,314,415,451,387,448,198,226,283,439,283,86,89,365,661,81,377,908,78,595,97,4,389,38,25,24,216,165,0,304,122,223,331,31,167,337,295,292,82,141,41,362,51,75
ASV64,7,0,0,13,22,2,155,100,92,0,0,0,204,321,88,347,141,331,4,282,272,476,693,1918,90,343,318,91,175,171,322,144,3409,823,20,66,5,0,13,5,1,7,0,36,239,251,6,16,0,68
ASV65,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,8186,79,0,288,0,0,0,3,0,0,0,0,0,0,76,1,0,0,2576,0,4,377,0,0,0
ASV66,82,79,2,103,349,30,174,55,51,360,352,242,356,199,0,306,375,0,56,361,2,299,248,703,0,175,289,73,6,141,1487,243,370,273,0,68,205,0,337,10,34,8,91,157,90,167,27,205,59,147
ASV67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,16,0,0,0,2572,7811,0,69,19,0,0,0,0,0,0,262,23,99,1,2,0,0,0,0,0,0,12,0,0,0
ASV68,12,68,0,51,0,39,51,31,47,11,2820,0,172,4,12,0,70,102,0,6,16,50,56,0,0,0,18,70,1,0,748,1043,13,2,0,8,27,6,13,6,1,20,7,4232,4,1,4,0,2254,43
ASV69,97,167,4,158,146,315,143,181,64,199,1331,245,296,199,158,0,163,145,32,235,307,161,50,153,126,109,233,269,324,150,550,0,205,243,0,39,196,634,42,24,87,162,504,310,102,48,6,170,161,849
ASV70,122,248,10,204,217,184,236,317,292,342,139,54,76,281,455,525,43,260,22,13,190,401,197,507,120,359,245,160,221,230,131,165,77,151,3,155,238,306,257,14,56,317,237,106,143,80,4,205,202,205
ASV71,97,146,14,301,138,193,39,101,252,69,362,640,306,93,161,438,45,478,55,216,207,949,557,83,8,486,72,117,170,141,0,0,726,389,11,129,34,251,267,0,61,32,129,21,148,65,4,127,243,232
ASV72,0,214,12,363,0,342,24,391,17,296,153,146,196,90,153,14,0,564,118,0,0,579,0,0,209,548,921,1,625,90,53,2,341,4,5,1,126,50,170,11,41,158,1120,343,345,33,50,4,343,306
ASV73,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,2636,2892,1800,634,311,0,94,0,0,61,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,18,0,0,0,0,0
ASV74,118,152,13,198,146,290,141,253,163,126,202,294,191,181,130,240,107,216,73,160,251,305,250,304,136,192,154,159,168,221,341,163,160,192,11,284,310,184,217,14,72,268,180,165,72,108,15,219,124,280
ASV75,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2783,2305,2005,28,1249,160,1,0,1,50,10,0,0,0,164,68,25,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
ASV76,86,27,10,200,46,13,235,83,225,16,334,149,86,256,142,243,469,8,202,14,302,10,21,10,111,86,1070,8,6,76,7,411,458,73,0,145,47,9,276,23,22,439,354,440,75,41,14,290,26,259
ASV77,193,225,13,297,342,135,210,214,178,371,126,149,337,171,169,520,275,132,30,52,336,302,196,282,164,321,173,136,162,118,217,176,241,129,3,107,188,123,145,18,125,267,261,253,143,100,31,284,198,271
ASV78,38,190,11,127,116,34,141,116,83,264,227,150,280,163,130,42,27,105,4,44,379,167,87,63,42,220,0,240,218,80,175,53,56,170,1,195,319,482,267,0,143,349,693,559,194,92,21,272,332,369
ASV79,151,0,23,0,0,0,21,388,878,53,58,10,697,0,36,0,112,627,179,68,154,689,0,0,486,0,629,0,15,0,0,0,0,266,7,390,354,14,0,0,0,133,324,278,11,55,0,6,0,316
ASV80,173,199,14,180,228,110,233,317,188,162,179,201,223,122,122,17,281,114,45,217,304,52,249,293,144,297,190,262,261,239,401,606,201,302,4,185,181,186,78,19,58,146,248,111,140,45,29,186,233,227
ASV81,156,162,12,185,241,261,103,172,208,148,237,268,201,235,109,460,111,291,27,126,201,174,228,222,56,433,251,144,223,60,320,272,28,103,4,144,294,30,96,26,69,146,333,122,222,99,16,121,196,154
ASV82,21,911,0,0,0,0,0,21,0,0,0,4,1,26,13,0,1,0,0,0,0,0,0,0,1254,0,5,0,20,0,64,1,0,51,1,1488,26,10,13,0,0,8,2395,75,1050,0,0,1424,13,0
ASV83,46,22,5,28,308,321,188,115,260,248,216,110,97,93,57,122,38,137,11,0,51,502,114,0,69,677,76,406,189,0,179,110,0,220,16,334,137,68,261,21,28,227,233,123,156,224,22,111,50,199
ASV84,141,236,8,239,93,384,210,248,360,259,206,299,317,125,47,67,411,81,154,52,293,159,50,159,204,566,272,188,414,6,0,121,320,125,6,19,66,26,38,1,42,0,0,5,0,0,8,68,40,154
ASV85,16,108,5,130,281,78,213,169,67,199,111,262,349,175,350,364,73,14,34,0,13,93,10,101,20,37,0,100,8,232,105,0,2,23,0,279,307,374,216,28,110,247,388,355,294,95,33,247,267,254
ASV86,21,0,0,17,62,0,213,84,191,4,47,0,0,8,0,47,0,27,0,0,0,0,0,0,18,42,0,38,337,39,78,0,0,12,0,384,600,627,331,33,269,736,470,329,291,243,148,861,500,721
ASV87,59,82,2,97,172,456,117,121,200,370,211,111,181,160,171,0,90,257,60,117,300,529,371,70,94,491,214,88,149,312,44,85,154,105,1,262,152,53,72,8,27,99,278,113,27,48,24,134,128,245
ASV88,146,89,13,211,158,214,247,304,122,116,108,274,249,114,47,235,119,128,24,110,163,124,197,36,131,226,87,173,178,138,9,155,151,168,2,126,231,90,121,7,94,189,139,323,126,109,14,205,137,221
ASV89,35,178,6,56,175,171,161,119,187,215,45,65,275,147,246,0,229,409,26,80,459,608,165,453,137,14,66,126,297,123,187,183,230,524,10,100,147,118,228,14,79,169,373,36,10,92,5,97,157,89
ASV90,126,197,2,221,62,194,70,404,189,73,178,40,490,84,48,0,113,263,31,20,196,135,98,139,57,192,89,5,100,260,890,140,239,37,1,106,57,60,85,13,30,93,194,58,200,50,8,172,76,128
ASV91,119,111,13,85,165,285,186,81,174,168,171,177,325,195,128,259,120,457,58,220,137,68,223,109,129,81,133,128,200,197,302,173,188,189,4,148,86,197,136,21,59,81,327,152,127,49,40,157,176,116
ASV92,68,228,4,113,65,175,246,104,106,182,566,221,0,107,163,0,325,128,4,50,78,45,243,210,50,626,326,64,285,27,0,290,151,198,2,76,103,44,115,14,82,167,117,384,4,96,3,93,224,208
ASV93,102,227,3,324,10,92,232,186,100,19,34,88,54,195,165,0,240,583,38,38,228,640,195,261,62,161,114,415,86,197,163,298,130,101,3,76,198,112,98,6,107,153,239,301,86,57,6,155,75,187
ASV94,2,0,0,0,0,0,61,110,93,1508,0,0,0,0,0,182,37,10,132,59,79,0,0,2,495,230,0,39,0,0,2530,0,72,373,22,0,0,0,0,0,0,8,0,0,0,0,0,6,1,440
ASV95,128,161,4,36,83,115,68,179,31,61,66,55,223,24,100,136,27,284,8,60,54,95,81,0,74,531,80,67,93,130,95,9,46,123,0,148,148,193,319,17,120,263,293,196,107,50,46,207,161,101
ASV96,0,0,0,0,0,0,0,0,0,1438,1264,1817,45,204,79,1,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,558,1164,277
ASV97,267,0,1,293,0,0,0,166,0,666,0,219,0,35,30,0,372,0,0,0,163,0,0,1,117,0,1268,60,968,0,0,0,96,1104,0,0,1,0,0,6,0,0,0,0,44,0,0,0,108,431
ASV98,107,138,5,189,19,406,166,195,202,148,98,337,165,199,126,0,149,437,54,183,228,308,8,64,56,275,158,179,343,197,6,10,43,72,1,237,106,80,137,4,83,112,145,47,60,40,18,105,102,216
ASV99,155,146,11,251,54,60,23,44,122,128,177,105,26,131,0,99,161,330,30,43,121,239,135,106,249,422,49,244,528,0,0,175,204,71,1,72,36,73,74,25,29,31,192,210,46,41,32,376,38,407
ASV100,85,46,2,412,82,330,234,64,93,155,106,326,261,26,173,0,184,115,46,90,55,29,70,26,18,151,205,112,150,113,18,66,26,43,0,264,255,234,273,48,156,205,558,363,165,216,27,198,315,423
ASV101,2,0,0,0,0,0,16,22,3225,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855,0,0,0,0,0,14,0,0,1,0,1123
ASV102,62,182,7,95,177,118,141,85,207,566,76,32,113,45,74,130,66,105,41,122,30,64,163,444,122,404,47,63,86,45,19,29,23,148,0,146,122,44,151,11,59,142,255,298,25,27,19,106,323,254
ASV103,98,145,7,64,70,104,109,110,97,110,394,298,186,84,101,154,109,142,30,94,121,94,91,218,80,31,198,255,120,166,200,48,394,109,7,51,156,152,61,10,19,98,187,49,48,14,13,93,139,27
ASV104,0,0,19,0,0,0,56,25,0,24,0,272,0,584,0,1951,0,548,114,0,14,0,0,0,0,0,439,0,0,0,0,0,257,530,15,448,0,0,77,0,159,398,638,0,0,1,44,0,0,0
ASV105,59,6,5,107,157,97,29,119,112,264,73,380,60,84,38,10,109,104,4,0,138,216,45,55,6,73,59,103,110,21,0,32,19,39,0,223,140,174,279,27,128,86,253,141,232,163,32,252,238,370
ASV106,69,143,7,168,217,55,152,102,132,89,247,44,148,134,124,180,167,104,45,169,156,320,135,119,63,190,174,154,81,217,52,158,22,104,2,46,150,60,107,10,12,76,229,65,33,38,13,111,112,101
ASV107,105,128,9,241,215,254,268,129,217,116,259,86,173,213,127,217,118,178,10,16,9,12,33,91,93,270,249,122,137,5,182,33,1,0,1,29,22,14,67,2,40,84,195,137,59,118,21,244,151,281
ASV108,229,199,7,135,12,74,91,18,54,10,267,100,0,73,2,368,166,134,23,120,44,112,62,70,156,588,106,376,238,7,0,23,229,62,1,93,62,124,109,14,61,17,108,211,175,12,18,215,41,252
ASV109,68,320,2,2,122,4,172,360,1,1,26,108,53,32,178,0,65,356,1,71,0,0,494,0,0,299,173,143,335,0,0,1066,0,0,0,0,136,131,41,21,0,378,445,0,65,0,22,256,51,17
ASV110,40,0,1,0,10,0,15,353,314,70,11,0,0,0,0,755,8,13,1,288,0,840,0,0,213,0,29,2,27,108,4,28,324,941,4,38,162,19,18,79,0,498,249,13,65,250,25,3,13,193
ASV111,105,118,8,297,106,102,236,178,174,100,90,143,186,146,86,0,144,177,42,24,214,101,66,48,37,262,57,72,123,297,264,73,274,288,3,52,38,145,122,12,8,90,57,73,97,58,9,102,140,102
ASV112,44,142,0,84,95,172,12,38,148,135,154,66,17,167,91,122,101,9,119,4,448,12,215,108,46,818,156,127,64,212,63,7,168,93,0,101,249,79,73,14,37,134,18,27,39,113,0,158,476,34
ASV113,66,66,3,83,58,225,47,0,288,360,1,86,258,81,113,1013,23,143,13,0,6,116,2,0,0,0,67,135,321,26,0,0,192,207,0,136,108,99,49,0,41,187,120,55,198,54,7,89,125,123
ASV114,85,57,6,94,37,160,96,83,38,53,148,286,136,76,105,116,45,92,43,30,0,4,39,17,20,0,50,49,49,58,172,117,117,19,0,70,137,93,184,11,67,232,324,176,71,125,28,168,280,339
ASV115,143,26,5,41,287,123,139,21,17,147,167,134,93,232,268,464,11,127,8,7,32,0,9,10,3,1,61,44,132,113,11,600,12,24,0,522,115,116,142,21,184,221,830,784,182,196,4,66,393,251
ASV116,29,193,13,0,373,61,88,0,373,77,33,134,232,389,5,126,11,0,0,288,0,0,0,0,0,0,89,12,64,503,0,732,37,288,6,5,0,404,13,0,2,70,199,475,70,31,4,134,82,664
ASV117,142,81,6,89,276,40,267,89,238,322,268,11,97,12,259,0,72,7,10,410,68,120,141,233,30,284,45,503,131,146,44,0,26,185,3,173,157,188,11,4,122,208,76,97,174,56,9,24,62,170
ASV118,51,19,2,102,110,127,60,33,110,96,114,87,113,38,83,43,54,197,27,12,3,0,0,0,0,102,2,93,34,17,16,5,0,9,0,268,528,314,241,48,213,286,515,329,132,52,34,317,247,417
ASV119,10,33,0,0,0,1,0,0,0,31,58,195,0,0,0,0,0,1,0,0,0,0,0,0,2333,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0
ASV120,15,14,3,3,41,57,25,4,63,1,14,57,0,2,0,125,3,0,8,66,25,0,47,5,13,0,127,177,54,244,0,76,69,20,0,475,531,595,398,62,224,556,581,523,441,102,31,309,252,337
ASV121,28,192,1,0,427,26,0,15,123,42,0,59,45,133,138,0,168,390,0,14,17,0,0,0,314,1767,307,780,202,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,0,0,0,94,30
ASV122,1,0,0,0,0,0,0,0,5,1,0,3,0,0,1,1209,239,549,51,143,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,769,1200,1604,0,0,0,0,1,0
ASV123,64,119,8,76,119,99,151,69,38,310,133,241,89,84,180,0,83,16,30,52,32,101,136,358,66,266,66,12,123,165,231,84,143,59,5,166,133,161,74,13,61,45,280,43,16,98,10,83,113,62
