ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,23,92,166,224
ASV656,14,0,0,1,1,0,40,15,62,0,0,55,0,8,0,70,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,8,0,0,0,5,39,6,8,6,16,6,16,36,38,0,5,27,12,46
ASV657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,355,0,0,5,0,0,0,5,30,0,0,0,21,8,34,0,0,44,0,0,2,0,0,0,0,0,0,0,16,15,7,0,0,0,0
ASV658,17,13,0,0,95,0,88,17,78,20,0,0,9,0,21,0,0,47,0,0,0,0,18,5,31,0,4,2,0,0,0,0,0,7,0,40,33,0,0,0,26,22,0,0,0,10,1,0,15,0
ASV659,0,0,0,0,0,0,2,19,0,0,0,0,0,0,168,0,4,0,0,0,0,191,0,3,0,0,0,0,0,0,0,0,0,0,0,0,96,71,0,0,0,0,0,0,0,0,4,0,0,0
ASV660,2,0,0,0,0,0,0,57,0,0,0,0,17,7,5,0,0,0,0,0,9,0,0,0,0,0,0,81,0,0,0,0,0,0,0,9,14,30,53,0,4,19,0,133,0,0,1,10,0,0
ASV661,31,12,4,10,54,54,0,1,0,0,2,3,1,5,45,0,6,0,0,31,0,0,0,4,7,2,9,0,71,12,0,0,4,27,0,4,4,1,0,9,1,11,20,16,22,0,1,16,10,0
ASV662,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,107,0,0,0,0,0,0,0,0,0,58,0,0,57,3,0,0,0,44,16,0,0,0,0,0,0,0,0,46,112,0
ASV663,0,0,0,3,0,0,12,15,17,0,2,0,0,24,3,0,53,147,4,99,0,0,30,10,0,0,0,0,0,3,0,0,7,1,0,15,20,0,1,0,0,2,0,0,0,7,0,22,13,15
ASV664,19,20,0,7,6,28,0,1,0,23,0,6,0,0,11,0,12,0,9,0,0,0,4,25,0,0,1,51,81,58,0,7,0,12,0,42,4,8,0,0,0,4,2,17,96,0,2,0,3,10
ASV665,0,0,0,0,0,0,0,20,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,154,78,0,0,0,20,29,0,0,56,0,61,3,0,0,17,0,0,0,0,0,0,0
ASV666,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,70,74,0,0,7,16,45,12,0,0,10,0,0,0
ASV667,4,0,1,0,0,0,0,0,0,0,0,0,99,0,22,0,0,0,19,0,194,0,0,0,0,0,10,0,69,77,0,0,0,31,0,0,0,0,0,0,19,0,0,1,0,0,0,22,0,17
ASV668,0,0,0,0,69,0,0,0,0,15,0,23,0,0,13,0,63,96,0,0,0,7,47,51,18,0,7,0,46,0,25,0,0,18,0,85,0,6,11,0,0,62,0,0,0,0,0,2,14,14
ASV669,0,6,0,10,55,12,0,0,0,0,0,16,77,0,0,0,25,0,0,0,0,118,2,7,0,19,0,0,0,0,39,0,0,15,0,0,39,0,46,0,5,19,0,0,3,13,0,0,6,25
ASV670,27,0,2,0,1,32,1,48,0,0,53,0,3,0,66,0,55,72,12,0,0,0,0,0,0,14,12,0,68,0,0,7,0,24,2,29,2,38,78,0,13,0,0,23,0,4,0,31,0,39
ASV671,0,0,0,1,0,18,3,12,1,8,0,0,0,22,43,0,16,6,0,66,0,0,0,11,4,136,8,74,40,0,0,52,19,0,0,0,0,0,0,0,20,0,0,10,0,4,0,5,0,1
ASV672,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0
ASV673,17,11,4,27,0,2,52,11,0,4,6,0,13,11,2,0,18,93,0,8,0,1,6,0,2,14,2,0,0,108,0,0,0,10,0,0,14,1,2,0,0,1,13,0,0,0,0,0,5,0
ASV674,14,0,0,0,0,0,17,0,0,0,10,0,0,0,23,0,0,0,16,0,0,0,0,0,0,23,0,30,0,0,0,341,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV675,17,5,0,0,18,3,0,0,0,0,2,42,9,0,71,0,0,0,6,0,21,0,0,44,11,43,0,0,1,46,3,4,0,21,0,0,0,6,97,5,0,0,2,0,0,10,0,0,1,0
ASV676,0,0,0,0,0,0,0,0,0,8,49,0,0,0,23,0,0,0,0,0,97,0,0,0,0,193,0,0,0,0,0,0,0,0,0,24,0,0,48,2,0,0,0,79,0,0,0,0,0,0
ASV677,26,38,0,0,0,48,0,23,0,0,0,0,117,0,0,0,28,0,0,0,0,48,0,14,0,35,54,44,0,0,0,0,51,0,0,0,0,7,0,0,0,16,6,11,39,0,0,14,35,19
ASV678,6,7,0,0,2,0,0,15,10,11,0,2,0,9,8,1,0,0,3,0,0,2,0,0,0,15,9,0,78,168,0,4,0,0,0,3,11,0,26,1,0,0,13,5,0,6,1,1,1,44
